Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200,Signal,Position,Daily Return,Strategy Return,Cumulative Market Return,Cumulative Strategy Return,MA20,MA50,MA7,MA30,Date_ordinal,Predicted
2024-07-29 00:00:00-04:00,224.89999389648438,234.27000427246094,224.6999969482422,232.10000610351562,129201800,0.0,0.0,,,0,,,,,,,,,,739096,261.18213155370904
2024-07-30 00:00:00-04:00,232.25,232.41000366210938,220.0,222.6199951171875,100560300,0.0,0.0,,,0,0.0,-0.04084450985365373,-0.0,0.9591554901463463,1.0,,,,,739097,261.4027295676351
2024-07-31 00:00:00-04:00,227.89999389648438,234.67999267578125,226.7899932861328,232.07000732421875,67497000,0.0,0.0,,,0,0.0,0.04244907202543402,0.0,0.999870750631159,1.0,,,,,739098,261.62332758156117
2024-08-01 00:00:00-04:00,227.69000244140625,231.8699951171875,214.3300018310547,216.86000061035156,83861900,0.0,0.0,,,0,0.0,-0.06554059651757449,-0.0,0.9343386251943179,1.0,,,,,739099,261.84392559548724
2024-08-02 00:00:00-04:00,214.8800048828125,216.1300048828125,205.77999877929688,207.6699981689453,82880100,0.0,0.0,,,0,0.0,-0.042377581921705376,-0.0,0.8947436135625321,1.0,,,,,739100,262.0645236094133
2024-08-05 00:00:00-04:00,185.22000122070312,203.8800048828125,182.0,198.8800048828125,100308800,0.0,0.0,,,0,0.0,-0.04232673647438423,-0.0,0.8568720364191325,1.0,,,,,739103,262.7263176511915
2024-08-06 00:00:00-04:00,200.75,202.89999389648438,192.6699981689453,200.63999938964844,73783900,0.0,0.0,,,0,0.0,0.008849529684359148,0.0,0.8644549509411208,1.0,,,215.83428737095423,,739104,262.94691566511756
2024-08-07 00:00:00-04:00,200.77000427246094,203.49000549316406,191.47999572753906,191.75999450683594,71159800,0.0,0.0,,,0,0.0,-0.044258397676563366,-0.0,0.8261955599488946,1.0,,,210.07142857142858,,739105,263.1675136790436
2024-08-08 00:00:00-04:00,195.6999969482422,200.6999969482422,192.0399932861328,198.83999633789062,65033900,0.0,0.0,,,0,0.0,0.036921162045623124,0.0,0.8566996600991421,1.0,,,206.67428588867188,,739106,263.3881116929697
2024-08-09 00:00:00-04:00,197.0500030517578,200.8800048828125,195.11000061035156,200.0,58648300,0.0,0.0,,,0,0.0,0.005833854775063374,0.0,0.8616975215020066,1.0,,,202.09285627092635,,739107,263.60870970689575
2024-08-12 00:00:00-04:00,199.02000427246094,199.25999450683594,194.6699981689453,197.49000549316406,64044900,0.0,0.0,,,0,0.0,-0.012549972534179665,-0.0,0.8508832412743857,1.0,,,199.32571411132812,,739110,264.27050374867395
2024-08-13 00:00:00-04:00,198.47000122070312,208.49000549316406,197.05999755859375,207.8300018310547,76247400,0.0,0.0,,,0,0.0,0.05235706137163754,0.0,0.8954329873578867,1.0,,,199.34857177734375,,739111,264.4911017626
2024-08-14 00:00:00-04:00,207.38999938964844,208.44000244140625,198.75,201.3800048828125,70250000,0.0,0.0,,,0,0.0,-0.0310349655555765,-0.0,0.8676432554379077,1.0,,,199.7057146344866,,739112,264.71169977649697
2024-08-15 00:00:00-04:00,205.02000427246094,215.8800048828125,204.82000732421875,214.13999938964844,89848500,0.0,0.0,,,0,0.0,0.06336276788880446,0.0,0.9226195336425065,1.0,,,201.63428606305803,,739113,264.93229779042304
2024-08-16 00:00:00-04:00,211.14999389648438,219.8000030517578,210.8000030517578,216.1199951171875,88765100,0.0,0.0,,,0,0.0,0.009246267550119258,0.0,0.9311503206975313,1.0,,,205.1142861502511,,739114,265.1528958043491
2024-08-19 00:00:00-04:00,217.07000732421875,222.97999572753906,214.08999633789062,222.72000122070312,76435200,0.0,0.0,,,0,0.0,0.030538618603692225,0.0,0.959586365204019,1.0,,,208.52571541922433,,739117,265.8146898461273
2024-08-20 00:00:00-04:00,224.8800048828125,228.22000122070312,219.55999755859375,221.10000610351562,74001200,0.0,0.0,,,0,0.0,-0.007273684933137958,-0.0,0.9526066363173898,1.0,,,211.54000200544084,,739118,266.03528786005336
2024-08-21 00:00:00-04:00,222.6699981689453,224.66000366210938,218.86000061035156,223.27000427246094,70146000,0.0,0.0,,,0,0.0,0.009814554993405888,0.0,0.9619560465366103,1.0,,,215.22285897391183,,739119,266.2558858739794
2024-08-22 00:00:00-04:00,223.82000732421875,224.8000030517578,210.32000732421875,210.66000366210938,79514500,0.0,0.0,,,0,0.0,-0.056478704568676985,-0.0,0.9076260151762165,1.0,,,215.62714494977678,,739120,266.4764838879055
2024-08-23 00:00:00-04:00,214.4600067138672,221.47999572753906,214.2100067138672,220.32000732421875,81525200,0.0,0.0,,,0,0.0,0.04585589810206048,0.0,0.9492460212429163,1.0,211.82350158691406,,218.3328595842634,,739121,266.69708190183155
